Sensor, acceleration x(*1000), acceleration y(*1000), acceleration z(*1000), gyro x, gyro y, gyro z, Hour ,Initial Date: ,08/03/2022 14:10:48.369932 GMT,29940
acc002, 73.00, 46.39, 1075.93, -0.85, -1.28, -0.85,37153,,,
acc002, 75.68, 52.49, 1072.02, -2.01, -3.60, -0.73,37164,,,
acc002, 75.20, 51.76, 1072.02, -2.32, -4.21, -0.67,37175,,,
acc002, 80.08, 50.78, 1063.72, -2.44, -4.52, -0.67,37186,,,
acc002, 76.17, 50.78, 1067.38, -2.32, -3.66, -0.49,37197,,,
acc002, 79.59, 46.14, 1066.16, -1.53, -2.62, -0.61,37208,,,
acc002, 82.03, 56.40, 1073.00, -1.22, -1.95, -0.61,37221,,,
acc002, 80.81, 45.17, 1065.43, -0.79, -1.53, -0.67,37232,,,
acc002, 81.05, 50.05, 1062.26, 0.31, 0.79, -0.73,37243,,,
acc002, 78.12, 52.73, 1071.53, 1.46, 3.72, -0.61,37254,,,
acc002, 78.86, 47.85, 1068.85, 0.49, 1.89, -0.37,37265,,,
acc002, 83.25, 54.69, 1082.76, -0.12, 1.83, 0.43,37276,,,
acc002, 76.66, 47.12, 1067.63, -1.95, -0.92, 0.67,37287,,,
acc002, 78.37, 43.21, 1057.13, -2.62, -0.92, 0.92,37301,,,
acc002, 73.49, 45.41, 1078.86, -2.38, 0.18, 0.49,37312,,,
acc002, 80.57, 51.27, 1090.33, -4.70, -1.77, 0.49,37325,,,
acc002, 71.29, 45.41, 1092.04, -9.22, -5.49, 1.10,37336,,,
acc002, 72.02, 43.70, 1054.93, -11.11, -9.77, 0.98,37347,,,
acc002, 94.48, 63.48, 1092.77, -11.35, -9.16, 1.10,37358,,,
acc002, 56.64, 20.26, 1044.43, -13.43, -10.86, 1.77,37369,,,
acc002, 90.09, 38.09, 1062.99, -7.39, -8.54, 0.18,37380,,,
acc002, 98.63, 56.40, 1098.88, -8.61, -9.52, 0.79,37391,,,
acc002, 88.38, 25.15, 1039.79, -11.66, -10.19, 1.34,37402,,,
acc002, 92.77, 23.44, 1029.30, 0.55, -0.85, -0.49,37413,,,
acc002, 78.61, 33.69, 1083.25, 4.15, 1.83, -1.10,37427,,,
acc002, 97.41, 32.71, 1070.31, 3.78, -3.54, -1.40,37438,,,
acc002, 87.89, 35.40, 1074.71, 3.11, -0.18, -0.79,37449,,,
acc002, 93.51, 39.06, 1073.24, 1.04, -0.61, -0.79,37460,,,
acc002, 91.06, 36.38, 1065.19, 0.24, -0.98, -0.61,37472,,,
acc002, 88.38, 32.96, 1072.02, 0.43, -0.61, -0.43,37483,,,
acc002, 92.53, 35.64, 1067.14, 0.24, -0.43, -0.49,37494,,,
acc002, 93.02, 33.20, 1066.65, -0.12, 0.18, -0.43,37508,,,
acc002, 89.84, 38.82, 1078.13, 0.12, 0.92, -0.55,37521,,,
acc002, 90.33, 33.45, 1066.41, 0.24, 0.55, -0.49,37532,,,
acc002, 90.09, 36.13, 1069.58, 0.55, 1.04, -0.55,37543,,,
acc002, 92.29, 34.18, 1061.77, 0.18, 0.49, -0.61,37554,,,
acc002, 85.21, 39.06, 1077.64, 0.79, 1.77, -0.67,37565,,,
acc002, 88.38, 35.40, 1070.31, 0.00, 0.61, -0.55,37576,,,
acc002, 91.06, 31.01, 1063.72, -0.12, 0.24, -0.43,37587,,,
acc002, 90.33, 33.94, 1065.43, 0.18, 1.22, -0.61,37598,,,
acc002, 89.36, 36.13, 1068.85, 0.49, 1.59, -0.61,37609,,,
acc002, 87.16, 40.28, 1073.97, 0.55, 1.83, -0.61,37622,,,
acc002, 88.13, 34.18, 1072.02, 1.10, 3.60, -0.73,37633,,,
acc002, 88.13, 37.84, 1064.94, 0.43, 2.62, -0.73,37644,,,
acc002, 84.96, 33.45, 1071.78, 1.71, 4.27, -0.85,37655,,,
acc002, 83.74, 32.96, 1068.36, 0.79, 2.20, -0.85,37667,,,
acc002, 85.69, 37.60, 1061.52, 1.22, 2.44, -1.04,37678,,,
acc002, 83.98, 34.91, 1068.36, 1.34, 2.44, -1.04,37689,,,
acc002, 84.96, 35.16, 1065.43, 1.34, 3.48, -1.10,37700,,,
acc002, 79.35, 35.64, 1073.00, 2.08, 2.56, -1.22,37714,,,
acc002, 84.23, 34.91, 1064.70, 3.17, 2.62, -1.40,37728,,,
acc002, 73.97, 28.08, 1042.72, 3.48, 2.32, -1.59,37738,,,
acc002, 82.03, 43.70, 1064.70, 8.79, 6.35, -2.75,37749,,,
acc002, 83.25, 38.82, 1054.93, 8.06, 5.98, -2.38,37760,,,
acc002, 81.79, 40.04, 1042.24, 7.69, 6.53, -2.32,37771,,,
acc002, 81.05, 56.40, 1089.60, 7.93, 7.63, -2.50,37782,,,
acc002, 77.88, 39.31, 1059.08, 2.38, 3.72, -1.46,37793,,,
acc002, 83.74, 47.36, 1050.05, 2.81, 4.33, -1.40,37804,,,
acc002, 78.86, 40.04, 1052.25, 5.37, 9.58, -1.46,37815,,,
acc002, 97.17, 55.66, 1039.79, 7.32, 14.65, -0.98,37829,,,
acc002, 59.81, 48.10, 1096.44, 6.59, 20.20, 0.55,37840,,,
acc002, 52.25, 48.83, 1068.12, 4.58, 12.88, 0.85,37851,,,
acc002, 62.01, 53.22, 1073.97, 5.31, 11.35, 0.24,37862,,,
acc002, 52.98, 51.27, 1077.88, 4.82, 8.18, -0.31,37874,,,
acc002, 57.37, 55.91, 1078.13, 3.60, 5.74, -1.22,37885,,,
acc002, 55.66, 58.84, 1080.08, 2.50, 2.75, -1.40,37896,,,
acc002, 57.37, 58.11, 1073.97, 1.46, 0.98, -1.28,37907,,,
acc002, 54.93, 47.85, 1073.73, 1.04, -0.49, -2.08,37921,,,
acc002, 74.22, 51.76, 1078.13, 1.16, -4.33, -3.48,37934,,,
acc002, 72.51, 69.34, 1066.65, 0.61, -3.42, -2.69,37945,,,
acc002, 63.48, 54.93, 1069.09, 0.24, -0.61, -1.04,37956,,,
acc002, 62.74, 49.07, 1073.24, 0.37, -0.43, -1.10,37967,,,
acc002, 63.96, 67.87, 1064.45, 0.49, -0.79, -1.65,37978,,,
acc002, 52.49, 66.65, 1073.49, -0.12, 0.79, -0.49,37989,,,
acc002, 57.13, 65.43, 1075.44, -0.73, 0.00, -0.43,38000,,,
acc002, 83.98, 101.81, 1114.01, -34.36, -48.22, 4.27,38011,,,
acc002, 84.47, 27.59, 1044.43, 2.50, 1.22, -2.08,38024,,,
acc002, 62.99, 88.62, 1081.79, 1.53, 3.23, -1.59,38035,,,
acc002, 71.04, 59.08, 1073.00, -0.37, -0.06, -1.16,38046,,,
acc002, 74.71, 44.68, 1065.67, 0.12, 0.31, -0.73,38058,,,
acc002, 64.94, 37.60, 1029.79, 0.49, 0.49, -0.85,38069,,,
acc002, 64.21, 50.05, 1062.50, 3.36, 1.59, -1.77,38080,,,
acc002, 35.40, 44.19, 1082.28, 5.25, 0.61, -3.66,38091,,,
acc002, 82.52, 55.66, 1070.80, 2.99, 2.08, -3.42,38102,,,
acc002, 83.25, 54.93, 1078.86, 1.83, 2.75, -1.89,38114,,,
acc002, 80.32, 50.78, 1056.88, 1.10, 3.42, -0.73,38130,,,
acc002, 81.54, 55.66, 1056.15, 1.77, 4.76, -0.31,38141,,,
acc002, 92.04, 55.18, 1074.46, 2.81, 8.24, 0.67,38152,,,
acc002, 49.56, 65.43, 1075.93, 1.28, 3.11, 0.18,38162,,,
acc002, 58.35, 65.19, 1076.90, -0.31, 1.10, -0.55,38173,,,
acc002, 70.80, 29.79, 1065.43, -1.04, -0.85, -0.55,38184,,,
acc002, 64.94, 56.64, 1067.63, 0.18, 0.49, -0.67,38195,,,
acc002, 63.72, 54.44, 1067.63, 0.37, 0.67, -0.79,38206,,,
acc002, 68.36, 49.56, 1066.65, -0.06, 0.79, -0.79,38217,,,
acc002, 64.21, 54.69, 1075.93, -0.92, 0.67, -0.67,38231,,,
acc002, 64.21, 52.00, 1081.79, -3.42, -1.83, -1.04,38242,,,
acc002, 65.92, 51.27, 1070.80, -5.43, -4.27, -0.73,38253,,,
acc002, 67.14, 42.97, 1072.75, -4.64, -4.46, -0.92,38264,,,
acc002, 66.89, 46.63, 1070.07, -4.58, -5.92, -0.73,38276,,,
acc002, 73.97, 50.05, 1065.43, -4.15, -6.16, -0.49,38287,,,
acc002, 72.75, 53.47, 1077.64, -3.78, -5.62, -0.43,38298,,,
acc002, 79.10, 51.03, 1065.19, -4.94, -6.84, -0.18,38309,,,
acc002, 67.14, 43.21, 1068.36, -3.48, -3.85, -0.55,38325,,,
acc002, 66.16, 46.88, 1054.69, -3.23, -4.27, -0.67,38336,,,
acc002, 68.85, 71.04, 1092.04, -1.34, -2.93, -1.40,38347,,,
acc002, 68.12, 42.48, 1033.69, -4.88, -4.64, -1.34,38358,,,
acc002, 114.26, 6.35, 1030.03, 5.49, 7.45, -2.93,38369,,,
acc002, 70.80, 41.75, 1092.77, 8.42, 8.91, -2.26,38380,,,
acc002, 69.82, 52.73, 1082.76, 7.57, 10.93, -2.38,38391,,,
acc002, 68.85, 50.54, 1071.53, 5.86, 9.83, -1.71,38402,,,
acc002, 67.63, 52.25, 1083.01, 5.19, 8.61, -1.59,38413,,,
acc002, 69.09, 50.78, 1074.95, 3.48, 6.53, -1.28,38426,,,
acc002, 65.43, 48.58, 1076.17, 3.17, 5.43, -1.34,38437,,,
acc002, 65.43, 51.76, 1076.90, 2.75, 5.25, -1.22,38448,,,
acc002, 63.72, 54.69, 1073.00, 1.95, 4.46, -1.10,38460,,,
acc002, 64.21, 54.93, 1073.73, 1.10, 2.87, -0.85,38471,,,
acc002, 63.96, 50.05, 1073.73, 0.00, 0.73, -0.67,38482,,,
acc002, 63.48, 52.25, 1070.80, -0.06, 0.06, -0.73,38493,,,
acc002, 61.77, 52.49, 1074.95, -0.06, -0.49, -0.79,38504,,,
acc002, 63.96, 50.54, 1070.31, -0.12, -1.16, -0.92,38515,,,
acc002, 69.82, 59.57, 1085.94, -2.69, -5.49, -0.31,38532,,,
acc002, 66.65, 51.51, 1067.87, -6.47, -10.38, 0.43,38543,,,
acc002, 63.96, 54.20, 1068.12, -6.53, -10.25, 0.61,38553,,,
acc002, 70.56, 53.47, 1085.45, -8.85, -13.73, 0.98,38564,,,
acc002, 65.19, 38.33, 1041.26, -8.61, -12.76, 0.92,38575,,,
acc002, 72.51, 47.85, 1066.65, -4.64, -8.18, -0.18,38586,,,
acc002, 76.42, 43.70, 1062.01, -2.44, -4.46, -0.43,38597,,,
acc002, 76.90, 49.32, 1065.43, -1.77, -3.11, -0.61,38608,,,
acc002, 78.86, 46.63, 1058.84, -1.22, -2.87, -0.55,38621,,,
acc002, 69.82, 41.02, 1082.76, 0.31, -0.24, -0.73,38633,,,
acc002, 103.03, 30.76, 1049.32, 1.04, 1.46, -0.24,38644,,,
acc002, 77.15, 43.95, 1070.56, 1.40, 1.59, 0.37,38655,,,
acc002, 50.05, 68.60, 1081.30, 1.71, 1.95, -0.18,38666,,,
acc002, 74.46, 47.12, 1070.56, -0.31, -0.61, -0.73,38677,,,
acc002, 83.98, 44.92, 1060.55, -0.18, -0.43, -0.73,38688,,,
acc002, 76.42, 45.17, 1065.19, 0.67, 1.22, -0.61,38699,,,
acc002, 71.78, 38.57, 1074.22, 2.08, 3.17, -0.49,38711,,,
acc002, 73.24, 43.46, 1065.43, 1.40, 2.14, -0.55,38724,,,
acc002, 73.97, 49.32, 1076.66, 2.08, 2.75, -0.67,38738,,,
acc002, 74.46, 49.80, 1070.80, 1.53, 2.62, -0.73,38749,,,
acc002, 77.64, 50.29, 1067.63, 0.92, 2.26, -0.49,38760,,,
acc002, 78.37, 51.51, 1068.36, 0.55, 2.50, -0.31,38771,,,
acc002, 81.54, 46.39, 1054.69, -3.23, -5.37, -0.67,38931,,,
acc002, 80.57, 42.48, 1059.33, -2.01, -3.42, -0.85,38942,,,
acc002, 78.37, 43.95, 1062.99, -0.61, -1.34, -1.04,38953,,,
acc002, 78.37, 48.34, 1082.03, -1.46, -1.65, -0.98,38964,,,
acc002, 81.54, 46.14, 1063.23, -1.40, -2.01, -0.85,38977,,,
acc002, 85.94, 45.17, 1065.67, -1.22, -1.53, -0.73,38988,,,
acc002, 74.71, 43.95, 1071.78, -0.49, -0.31, -0.79,38999,,,
acc002, 77.88, 42.97, 1076.90, -0.61, -0.61, -0.85,39010,,,
acc002, 77.88, 46.39, 1075.68, -0.61, -0.73, -1.04,39021,,,
acc002, 73.73, 43.21, 1068.60, -1.71, -1.10, -0.79,39032,,,
acc002, 81.05, 45.41, 1070.31, -1.53, -1.34, -0.79,39043,,,
acc002, 80.57, 44.92, 1072.02, -1.46, -1.53, -0.73,39054,,,
acc002, 80.08, 42.97, 1065.19, -1.59, -0.98, -0.79,39067,,,
acc002, 70.31, 17.82, 1078.13, -1.59, -1.16, -0.67,39078,,,
acc002, 60.55, 36.38, 1070.31, -1.34, -0.61, -0.61,39089,,,
acc002, 86.18, 38.09, 1066.89, -0.37, 0.31, -0.61,39101,,,
acc002, 78.86, 37.84, 1066.16, 0.67, 0.79, -0.73,39112,,,
acc002, 75.93, 42.72, 1074.22, 0.92, 1.04, -0.98,39123,,,
acc002, 82.76, 40.53, 1062.74, 0.79, 0.37, -1.16,39134,,,
acc002, 86.91, 39.79, 1057.86, 1.53, 1.53, -1.22,39148,,,
acc002, 84.23, 43.46, 1067.87, 2.38, 3.05, -1.16,39159,,,
acc002, 81.54, 41.50, 1069.82, 2.08, 2.99, -0.85,39172,,,
acc002, 83.25, 43.95, 1066.89, 1.59, 2.50, -0.73,39183,,,
acc002, 79.35, 42.97, 1069.58, 1.77, 2.93, -0.73,39194,,,
acc002, 78.86, 46.39, 1068.36, 1.77, 2.75, -0.73,39205,,,
acc002, 77.15, 47.85, 1074.46, 2.20, 3.23, -0.67,39216,,,
acc002, 76.66, 46.39, 1074.46, 1.28, 2.44, -0.55,39227,,,
acc002, 78.12, 45.65, 1066.65, 0.92, 2.14, -0.55,39238,,,
acc002, 76.17, 48.58, 1070.56, 1.10, 2.87, -0.37,39249,,,
acc002, 81.05, 44.19, 1057.37, 1.59, 4.21, -0.18,39260,,,
acc002, 62.50, 50.78, 1053.96, 3.97, 7.69, -0.37,39273,,,
acc002, 67.63, 61.77, 1076.42, 4.94, 9.09, -0.55,39284,,,
acc002, 48.10, 115.97, 1038.09, 4.15, 7.57, 0.00,39296,,,
acc002, 64.70, 35.64, 1056.88, 6.10, 10.13, 2.01,39307,,,
acc002, 78.86, 34.18, 1082.03, 5.00, 7.87, 0.98,39318,,,
acc002, 88.87, 47.85, 1080.57, 2.99, 5.37, 0.92,39329,,,
acc002, 69.82, 47.61, 1075.93, 1.10, 2.99, 1.28,39340,,,
acc002, 74.46, 54.20, 1072.02, 0.06, 1.16, 1.40,39355,,,
acc002, 64.70, 50.29, 1063.96, -0.37, 0.49, 1.71,39365,,,
acc002, 58.11, 28.56, 1066.65, -0.43, -0.31, 0.92,39378,,,
acc002, 61.77, 45.17, 1069.58, -0.12, -0.06, 0.00,39389,,,
acc002, 63.23, 47.12, 1066.41, 0.06, 0.12, -0.37,39400,,,
acc002, 65.19, 51.27, 1071.53, -0.06, 0.12, -0.49,39411,,,
acc002, 63.96, 50.78, 1068.36, -0.31, -0.18, -0.37,39422,,,
acc002, 66.16, 46.39, 1071.29, -0.79, -0.61, -0.31,39433,,,
acc002, 62.99, 52.00, 1076.90, -1.04, -0.98, -0.43,39444,,,
acc002, 63.72, 47.85, 1068.60, -1.28, -1.34, -0.43,39455,,,
acc002, 67.63, 47.61, 1069.09, -1.83, -1.77, -0.49,39469,,,
acc002, 59.81, 49.56, 1066.89, -1.28, -1.10, -0.43,39480,,,
acc002, 61.52, 47.12, 1068.36, -0.12, -0.06, -0.92,39491,,,
acc002, 62.01, 47.61, 1070.07, 0.18, 0.18, -1.10,39502,,,
acc002, 69.34, 52.49, 1071.53, 0.31, 0.49, -1.22,39513,,,
acc002, 69.58, 52.25, 1071.78, 0.12, 0.37, -0.92,39524,,,
acc002, 64.21, 51.27, 1070.07, -0.12, 0.24, -0.73,39536,,,
acc002, 63.48, 47.61, 1067.63, -0.18, 0.18, -0.73,39547,,,
acc002, 61.77, 49.56, 1072.27, -0.31, -0.24, -0.85,39561,,,
acc002, 67.63, 49.07, 1067.63, -0.12, -0.18, -0.85,39574,,,
acc002, 67.87, 48.83, 1069.09, 0.12, 0.18, -0.92,39585,,,
acc002, 63.96, 47.85, 1067.14, 0.37, 0.61, -0.98,39596,,,
acc002, 62.74, 50.05, 1072.75, 0.49, 0.61, -1.04,39607,,,
acc002, 65.19, 51.51, 1065.92, 0.37, 0.37, -1.10,39618,,,
acc002, 64.70, 52.00, 1069.34, 0.24, 0.24, -1.10,39629,,,
acc002, 66.89, 52.49, 1076.42, -0.06, 0.00, -1.04,39640,,,
acc002, 67.38, 52.98, 1076.66, -0.61, -0.79, -0.92,39651,,,
acc002, 66.16, 51.76, 1083.01, -2.20, -2.69, -0.73,39662,,,
acc002, 68.36, 49.80, 1087.16, -5.19, -7.26, -0.61,39675,,,
acc002, 68.60, 46.39, 1076.17, -8.36, -12.76, -0.24,39686,,,
acc002, 70.80, 44.19, 1061.77, -8.24, -12.63, -0.31,39697,,,
acc002, 76.42, 42.24, 1058.11, -6.04, -10.19, -0.67,39708,,,
acc002, 72.75, 40.04, 1056.88, -3.54, -6.59, -0.67,39719,,,
acc002, 73.73, 42.24, 1060.30, -0.18, -1.46, -1.28,39731,,,
acc002, 78.37, 43.46, 1059.08, 0.92, 0.55, -1.28,39742,,,
acc002, 53.47, 29.30, 1049.07, 2.93, 3.30, -1.46,39753,,,
acc002, 73.73, 50.78, 1070.56, 6.16, 7.20, -2.14,39769,,,
acc002, 77.39, 51.51, 1075.93, 5.07, 6.41, -1.71,39780,,,
acc002, 73.97, 50.29, 1070.31, 3.48, 4.64, -1.16,39791,,,
acc002, 72.51, 47.85, 1070.07, 2.44, 3.72, -0.92,39802,,,
acc002, 70.80, 49.07, 1075.68, 1.65, 2.75, -0.73,39813,,,
acc002, 70.31, 47.36, 1069.09, 0.85, 1.71, -0.61,39824,,,
acc002, 68.12, 49.32, 1069.34, 0.67, 1.40, -0.55,39835,,,
acc002, 70.56, 51.03, 1066.65, 0.85, 1.59, -0.61,39846,,,
acc002, 70.31, 50.54, 1067.63, 1.22, 2.01, -0.67,39857,,,
acc002, 67.87, 53.22, 1069.09, 2.20, 3.48, -0.61,39870,,,
acc002, 68.12, 52.25, 1068.12, 2.26, 3.60, -0.55,39881,,,
acc002, 64.21, 54.69, 1069.82, 2.20, 3.42, -0.49,39892,,,
acc002, 66.89, 51.51, 1070.80, 2.01, 3.30, -0.67,39903,,,
acc002, 66.65, 55.66, 1065.43, 1.83, 2.56, -0.67,39915,,,
acc002, 69.58, 45.17, 1072.51, 1.77, 2.87, -0.61,39926,,,
acc002, 62.74, 42.48, 1074.22, 0.92, 1.71, -0.43,39937,,,
acc002, 70.07, 47.85, 1068.85, 0.31, 0.55, -0.37,39948,,,
acc002, 73.49, 49.80, 1070.07, -0.06, 0.00, -0.61,39959,,,
acc002, 80.57, 55.18, 1068.12, -0.24, -0.18, -0.37,39975,,,
acc002, 53.96, 58.84, 1072.27, -0.31, -0.31, -0.43,39986,,,
acc002, 63.48, 55.42, 1079.59, -0.61, -1.16, -0.49,39997,,,
acc002, 64.21, 45.41, 1088.62, -2.32, -4.39, -0.61,40008,,,
acc002, 59.08, 54.93, 1100.10, -5.92, -10.25, -0.92,40019,,,
acc002, 66.89, 41.75, 1087.16, -13.06, -20.69, -0.92,40030,,,
acc002, 89.36, 43.21, 1034.18, -12.82, -18.49, -0.85,40041,,,
acc002, 83.98, 47.61, 1062.74, -7.81, -10.62, -0.61,40052,,,
acc002, 81.54, 47.12, 1066.89, -5.19, -6.29, -0.24,40065,,,
acc002, 82.76, 40.28, 1056.40, -3.91, -4.76, -0.18,40076,,,
acc002, 79.83, 46.14, 1069.82, -2.01, -2.81, -0.49,40088,,,
acc002, 84.72, 42.72, 1078.13, -2.87, -3.85, -0.43,40099,,,
acc002, 82.76, 43.95, 1074.71, -3.36, -3.85, -0.31,40110,,,
acc002, 80.08, 38.09, 1064.94, -4.64, -5.00, -0.18,40121,,,
acc002, 84.23, 33.45, 1049.07, -3.30, -3.66, -0.43,40132,,,
acc002, 87.16, 40.53, 1068.12, -0.73, -1.34, -0.73,40143,,,
acc002, 85.94, 38.82, 1063.48, -0.43, -1.04, -0.67,40155,,,
acc002, 86.91, 44.68, 1080.32, 0.37, -0.73, -0.61,40171,,,
acc002, 85.21, 40.77, 1078.61, -0.18, -0.61, -0.49,40182,,,
acc002, 83.50, 39.31, 1072.51, -0.67, -1.53, -0.37,40193,,,
acc002, 84.47, 42.24, 1063.23, -0.73, -1.59, -0.43,40204,,,
acc002, 88.13, 37.11, 1067.38, -0.18, -0.43, -0.55,40215,,,
acc002, 84.23, 39.06, 1067.38, -0.06, 0.06, -0.55,40225,,,
acc002, 85.94, 38.33, 1070.31, 0.18, 0.18, -0.55,40236,,,
acc002, 81.79, 42.72, 1075.93, 0.43, 0.49, -0.67,40247,,,
acc002, 88.38, 37.60, 1066.89, 0.00, -0.06, -0.61,40258,,,
acc002, 83.01, 38.57, 1059.81, 0.73, 0.98, -0.79,40272,,,
acc002, 81.30, 40.28, 1069.58, 1.46, 1.77, -1.10,40283,,,
acc002, 88.62, 38.09, 1073.97, 2.01, 1.95, -1.40,40294,,,
acc002, 85.94, 39.55, 1065.92, 1.28, 1.46, -0.98,40305,,,
acc002, 88.13, 42.48, 1071.53, 0.98, 1.28, -0.85,40316,,,
acc002, 84.47, 41.50, 1071.78, 0.67, 0.98, -0.79,40327,,,
acc002, 90.58, 41.50, 1071.78, 0.12, 0.49, -0.79,40338,,,
acc002, 90.09, 39.06, 1059.33, -0.24, -0.12, -0.43,40350,,,
acc002, 83.25, 36.87, 1067.38, -0.67, -0.55, -0.43,40365,,,
acc002, 83.98, 37.35, 1069.82, -1.16, -1.34, -0.43,40376,,,
acc002, 86.18, 41.75, 1075.44, -1.89, -2.75, -0.43,40386,,,
acc002, 85.69, 39.79, 1074.46, -3.23, -4.76, -0.12,40397,,,
acc002, 88.13, 40.28, 1062.74, -3.66, -5.43, -0.12,40408,,,
acc002, 87.65, 36.87, 1062.26, -2.75, -3.72, -0.24,40419,,,
acc002, 87.65, 38.33, 1067.38, -1.04, -1.22, -0.37,40430,,,
acc002, 91.80, 37.11, 1066.41, -0.55, -0.67, -0.43,40441,,,
acc002, 87.16, 39.06, 1068.36, -0.37, -0.43, -0.49,40452,,,
acc002, 87.40, 39.31, 1073.24, -0.18, -0.18, -0.55,40465,,,
acc002, 89.84, 37.11, 1065.92, -0.12, -0.24, -0.43,40476,,,
acc002, 87.65, 39.06, 1066.65, -0.24, -0.18, -0.43,40487,,,
acc002, 88.87, 39.79, 1068.12, -0.24, -0.31, -0.55,40498,,,
acc002, 86.67, 40.53, 1068.60, -0.18, -0.31, -0.43,40510,,,
acc002, 88.13, 36.87, 1068.12, -0.18, -0.31, -0.49,40521,,,
acc002, 87.89, 37.84, 1066.89, -0.12, -0.06, -0.49,40532,,,
acc002, 88.87, 39.06, 1065.43, -0.24, -0.12, -0.49,40543,,,
acc002, 89.60, 37.84, 1067.14, -0.24, -0.18, -0.49,40556,,,
acc002, 89.84, 39.31, 1069.58, -0.18, 0.00, -0.55,40568,,,
acc002, 87.40, 36.38, 1068.85, -0.24, -0.06, -0.55,40582,,,
acc002, 88.38, 38.82, 1067.14, -0.24, -0.06, -0.49,40593,,,
acc002, 88.62, 38.09, 1071.78, -0.12, -0.12, -0.49,40604,,,
acc002, 89.60, 39.79, 1071.78, -0.06, -0.06, -0.55,40615,,,
acc002, 88.87, 38.82, 1066.16, -0.12, -0.06, -0.55,40625,,,
acc002, 90.33, 40.04, 1068.60, -0.12, -0.12, -0.49,40636,,,
acc002, 88.13, 40.28, 1069.09, -0.18, -0.06, -0.49,40647,,,
acc002, 89.84, 38.33, 1070.31, -0.18, -0.06, -0.43,40660,,,
acc002, 89.36, 37.35, 1069.58, -0.24, -0.06, -0.43,40672,,,
acc002, 87.16, 39.55, 1071.29, -0.12, -0.06, -0.55,40683,,,
acc002, 91.06, 37.35, 1069.34, -0.12, -0.06, -0.55,40694,,,
acc002, 87.16, 37.35, 1071.04, -0.12, -0.06, -0.55,40705,,,
acc002, 88.87, 38.09, 1067.63, -0.24, -0.06, -0.49,40716,,,
acc002, 90.33, 37.11, 1068.60, -0.24, 0.00, -0.55,40727,,,
acc002, 88.87, 37.11, 1068.85, -0.18, -0.06, -0.49,40738,,,
acc002, 89.36, 38.82, 1066.89, -0.18, 0.06, -0.49,40749,,,
acc002, 88.38, 39.55, 1070.31, -0.18, -0.06, -0.43,40763,,,
acc002, 89.60, 39.31, 1071.04, -0.18, -0.06, -0.55,40774,,,
acc002, 87.16, 37.60, 1067.38, -0.18, 0.00, -0.55,40788,,,
acc002, 88.13, 36.13, 1069.82, -0.06, 0.00, -0.49,40799,,,
acc002, 89.60, 38.82, 1071.29, -0.18, 0.00, -0.43,40810,,,
acc002, 89.60, 38.33, 1065.19, -0.06, 0.00, -0.55,40821,,,
acc002, 90.09, 36.62, 1070.80, -0.12, 0.00, -0.55,40832,,,
acc002, 87.40, 38.33, 1068.60, -0.06, 0.00, -0.49,40843,,,
acc002, 89.84, 40.04, 1069.82, -0.12, 0.00, -0.49,40856,,,
acc002, 88.62, 37.35, 1069.34, -0.18, -0.06, -0.43,40867,,,
acc002, 88.62, 36.62, 1066.16, -0.12, -0.06, -0.49,40878,,,
acc002, 90.58, 39.55, 1071.04, -0.12, 0.00, -0.43,40889,,,
acc002, 87.89, 40.28, 1070.31, -0.12, 0.00, -0.49,40900,,,
acc002, 88.87, 39.06, 1067.63, -0.12, 0.06, -0.55,40911,,,
acc002, 90.09, 40.77, 1072.27, -0.18, 0.06, -0.43,40922,,,
acc002, 86.67, 38.82, 1067.38, -0.18, 0.06, -0.49,40933,,,
acc002, 87.89, 40.04, 1070.56, -0.18, 0.00, -0.49,40944,,,
acc002, 87.40, 37.84, 1069.09, -0.18, 0.00, -0.55,40958,,,
acc002, 88.38, 38.33, 1067.14, -0.12, 0.00, -0.55,40969,,,
acc002, 88.87, 39.31, 1070.56, -0.12, -0.06, -0.55,40980,,,
acc002, 87.65, 37.35, 1068.60, -0.24, 0.06, -0.55,40994,,,
acc002, 89.11, 39.31, 1068.12, -0.18, 0.06, -0.49,41005,,,
acc002, 86.43, 38.33, 1068.85, -0.06, 0.00, -0.43,41016,,,
acc002, 88.87, 37.60, 1068.85, -0.06, -0.06, -0.49,41027,,,
acc002, 89.60, 40.53, 1069.82, -0.18, -0.06, -0.61,41038,,,
acc002, 89.60, 38.82, 1069.34, -0.18, 0.06, -0.61,41051,,,
acc002, 89.60, 38.82, 1071.53, -0.12, 0.06, -0.55,41062,,,
acc002, 89.60, 37.84, 1068.36, -0.12, 0.06, -0.49,41073,,,
acc002, 89.36, 38.82, 1067.14, -0.18, 0.00, -0.49,41084,,,
acc002, 89.60, 37.84, 1070.56, -0.18, -0.06, -0.61,41095,,,
acc002, 91.06, 39.31, 1071.04, -0.12, 0.00, -0.49,41106,,,
acc002, 87.40, 37.84, 1064.94, -0.12, 0.00, -0.43,41117,,,
acc002, 86.67, 37.60, 1071.04, -0.24, 0.06, -0.61,41128,,,
acc002, 90.09, 37.35, 1067.63, -0.12, -0.06, -0.49,41139,,,
acc002, 89.11, 39.06, 1068.85, -0.12, 0.06, -0.55,41153,,,
acc002, 87.89, 39.31, 1066.16, -0.24, 0.00, -0.43,41164,,,
acc002, 89.84, 38.33, 1067.14, -0.12, -0.06, -0.55,41175,,,
